Year	Lon	Lat	M
   1.9805289e+03   1.0593000e+02   3.6370000e+01   2.1000000e+00
   1.9805353e+03   1.0458000e+02   3.8250000e+01   3.2000000e+00
   1.9805375e+03   1.0622000e+02   3.6930000e+01   2.1000000e+00
   1.9805547e+03   1.0240000e+02   3.7700000e+01   2.7000000e+00
   1.9805730e+03   1.0638000e+02   3.8170000e+01   2.8000000e+00
   1.9805754e+03   1.0460000e+02   3.8850000e+01   4.7000000e+00
   1.9805754e+03   1.0528000e+02   3.9080000e+01   4.2000000e+00
   1.9806010e+03   1.0262000e+02   3.7530000e+01   2.7000000e+00
   1.9806049e+03   1.0603000e+02   3.7730000e+01   3.5000000e+00
   1.9806188e+03   1.0440000e+02   3.8400000e+01   2.6000000e+00
   1.9806413e+03   1.0517000e+02   3.5280000e+01   2.2000000e+00
   1.9806486e+03   1.0547000e+02   3.6000000e+01   2.8000000e+00
   1.9806486e+03   1.0428000e+02   3.6000000e+01   2.4000000e+00
   1.9806503e+03   1.0205000e+02   3.8050000e+01   2.2000000e+00
   1.9806503e+03   1.0418000e+02   3.5720000e+01   2.7000000e+00
   1.9806519e+03   1.0220000e+02   3.7570000e+01   3.2000000e+00
   1.9806560e+03   1.0430000e+02   3.5530000e+01   2.7000000e+00
   1.9806560e+03   1.0467000e+02   3.5720000e+01   2.8000000e+00
   1.9806626e+03   1.0330000e+02   3.5580000e+01   2.1000000e+00
   1.9806782e+03   1.0220000e+02   3.8180000e+01   2.9000000e+00
   1.9806960e+03   1.0620000e+02   3.7800000e+01   2.7000000e+00
   1.9806994e+03   1.0465000e+02   3.7030000e+01   2.2000000e+00
   1.9807027e+03   1.0235000e+02   3.7650000e+01   2.8000000e+00
   1.9807060e+03   1.0238000e+02   3.5100000e+01   2.2000000e+00
   1.9807093e+03   1.0228000e+02   3.7620000e+01   1.9000000e+00
   1.9807120e+03   1.0647000e+02   3.9870000e+01   3.6000000e+00
   1.9807120e+03   1.0697000e+02   3.9950000e+01   2.7000000e+00
   1.9807121e+03   1.0613000e+02   3.7000000e+01   2.2000000e+00
   1.9807174e+03   1.0793000e+02   3.6330000e+01   2.1000000e+00
   1.9807174e+03   1.0602000e+02   3.6170000e+01   3.0000000e+00
   1.9807177e+03   1.0213000e+02   3.7700000e+01   2.0000000e+00
   1.9807182e+03   1.0282000e+02   3.7420000e+01   3.0000000e+00
   1.9807219e+03   1.0610000e+02   3.5830000e+01   2.9000000e+00
   1.9807219e+03   1.0628000e+02   3.5920000e+01   1.8000000e+00
   1.9807358e+03   1.0398000e+02   3.7100000e+01   3.6000000e+00
   1.9807358e+03   1.0417000e+02   3.7300000e+01   2.8000000e+00
   1.9807451e+03   1.0597000e+02   3.6350000e+01   2.0000000e+00
   1.9807461e+03   1.0250000e+02   3.9270000e+01   2.9000000e+00
   1.9807513e+03   1.0297000e+02   3.7300000e+01   3.3000000e+00
   1.9807523e+03   1.0222000e+02   3.7900000e+01   2.5000000e+00
   1.9807648e+03   1.0210000e+02   3.7300000e+01   2.2000000e+00
   1.9807690e+03   1.0212000e+02   3.7450000e+01   3.5000000e+00
   1.9807718e+03   1.0223000e+02   3.8480000e+01   2.1000000e+00
   1.9807718e+03   1.0312000e+02   3.5230000e+01   3.0000000e+00
   1.9807719e+03   1.0605000e+02   3.5900000e+01   1.8000000e+00
   1.9807831e+03   1.0212000e+02   3.7600000e+01   2.2000000e+00
   1.9808026e+03   1.0560000e+02   3.6350000e+01   1.9000000e+00
   1.9808081e+03   1.0400000e+02   3.8500000e+01   2.8000000e+00
   1.9808144e+03   1.0523000e+02   3.5350000e+01   2.5000000e+00
   1.9808368e+03   1.0570000e+02   3.5880000e+01   2.6000000e+00
   1.9808389e+03   1.0278000e+02   3.7220000e+01   2.8000000e+00
   1.9808419e+03   1.0222000e+02   3.7580000e+01   2.8000000e+00
   1.9808481e+03   1.0243000e+02   3.8350000e+01   3.0000000e+00
   1.9808491e+03   1.0620000e+02   3.8400000e+01   2.9000000e+00
   1.9808600e+03   1.0212000e+02   3.7730000e+01   3.5000000e+00
   1.9808680e+03   1.0230000e+02   3.7650000e+01   2.1000000e+00
   1.9808783e+03   1.0512000e+02   3.6800000e+01   2.6000000e+00
   1.9808991e+03   1.0223000e+02   3.7820000e+01   2.8000000e+00
   1.9809129e+03   1.0558000e+02   3.5680000e+01   2.2000000e+00
   1.9809165e+03   1.0222000e+02   3.7400000e+01   2.3000000e+00
   1.9809230e+03   1.0205000e+02   3.7880000e+01   2.2000000e+00
   1.9809429e+03   1.0415000e+02   3.8150000e+01   3.4000000e+00
   1.9809499e+03   1.0503000e+02   3.6780000e+01   2.4000000e+00
   1.9809572e+03   1.0247000e+02   3.7380000e+01   2.3000000e+00
   1.9809666e+03   1.0337000e+02   3.5500000e+01   1.8000000e+00
   1.9809820e+03   1.0647000e+02   3.6230000e+01   2.3000000e+00
   1.9809859e+03   1.0597000e+02   3.6800000e+01   2.6000000e+00
   1.9809859e+03   1.0605000e+02   3.6470000e+01   3.3000000e+00
   1.9809951e+03   1.0285000e+02   3.7480000e+01   2.6000000e+00
   1.9809972e+03   1.0247000e+02   3.8550000e+01   2.4000000e+00
   1.9809996e+03   1.0397000e+02   3.7080000e+01   2.0000000e+00
   1.9810087e+03   1.0603000e+02   3.7370000e+01   2.7000000e+00
